,Section(Russian),Section(English),Question(Russian),Question(English),Options(Russian),Option(English),Answer,Solution(Russian),Solution(English)
11,Алгебра,Algebra,"Турист за первый час пешего пути поднялся в гору на 500 м, а каждый следующий час поднимался на 25 метров меньше, чем в предыдущий. За сколько часов он достигнет высоты 3300 метров?","A hiker climbed 500 meters uphill in the first hour of a hike, and each the next hour was 25 meters less than the previous hour. In how many hours will he reach an altitude of 3300 meters?",A) 8 B) 7 C) 6 D) 5 E) 9,A) 8 B) 7 C) 6 D) 5 E) 9,A,"Данную задачу можно решить с помощью формулы арифметической прогрессии:
 S = (2a_1 + d(n-1))/2*n, где S = 3300, a_1 = 500, d = -25.
 Подставим наши данные и найдем искомое значение
 3300 = (2*500-25(n-1))/2*n
 25n^2 - 1025n + 6600 = 0
 n^2 - 41n + 264 = 0
 n_1 = 8, n_2 = 33
 Выбираем наименьший корень n = 8. Значит через 8 часов поднимется на высоту 3300м.
 Ответ: 8","This problem can be solved using the formula of Algebra progression:
 S = (2a_1 + d(n-1))/2*n, where S = 3300, a_1 = 500, d = -25.
 Substitute our data and find the desired value
 3300 = (2*500-25(n-1))/2*n
 25n^2 - 1025n + 6600 = 0
 n^2 - 41n + 264 = 0
 n_1 = 8, n_2 = 33
 Select the smallest root n = 8. This means that in 8 hours it will rise to a height of 3300 m.
 Answer: 8"
12,Алгебра,Algebra,"Изделие из серебра весит 18,4 грамма. Сколько тонн весит миллион таких изделий из серебра?",A piece of silverware weighs 18.4 grams. How many tons does a million of these silverware weigh?,"A) 184 т B) 18,4 т C) 1840 т D) 0,184 т E) 1,84 т",A) 184 tons B) 18.4 tons C) 1840 tons D) 0.184 tons E) 1.84 tons,B,"18,4 г * 1000000 = 18 400 000 г = (1 т = 1000 кг = 1 000 000 г) = 18,4 т
 Ответ: 18,4 т","18,4 g * 1000000 = 18 400 000 g = (1 t = 1000 kg = 1 000 000 g) = 18,4 tons
 Answer: 18,4 tons"
13,Алгебра,Algebra,"В одном ящике было 300 яиц, а в другом 130 яиц. Сколько яиц нужно добавить в каждый ящик, чтобы в них было восемь сотен и во втором ящике в четыре раза меньше, чем в первом?",There were 300 eggs in one box and 130 eggs in the other. How many eggs would have to be added be added to each box so that there are eight hundred eggs in each box and the second box has four times less than the first?,A) 370 и 30 B) 300 и 20 C) 320 и 30 D) 320 и 20 E) 340 и 30,A) 370 и 30 B) 300 и 20 C) 320 и 30 D) 320 и 20 E) 340 и 30,E,"Составим систему уравнений, согласно условию:
 300 + a = 4(130 + b)
 300 + a + 130 + b = 800
 
 Упрощаем уравнения и приводим к данному виду:
 a – 4b = 220
 a + b = 370
 
 Сложив два уравнения, нaходим значения переменных:
 -5b = -150
 b = 30
 a = 370 – b = 340
 Ответ: 340 и 30","Let's make a system of equations according to the conditions:
 300 + a = 4(130 + b)
 300 + a + 130 + b = 800
 
 We simplify the equations and bring them to this form:
 a – 4b = 220
 a + b = 370
 
 By adding above-listed two equations, we find the values ​​of the variables:
 -5b = -150
 b = 30
 a = 370 – b = 340
 Answer: 340 and 30"
14,Алгебра,Algebra,"1 киловатт-час электроэнергии стоит 14 тенге. Счетчик электроэнергии 1 января показывал 32544 киловатг-часа, а 1 февраля 32726 киловатт-часов. Сколько тенге нужно заплатить за использованную электроэнергию?",1 kilowatt-hour of electricity costs 14 tenge. The electricity meter showed 32544 kilowatt-hours on January 1 and 32726 kilowatt-hours on February 1. How many tenge should be paid for the used electricity?,A) 2448 B) 1568 C) 2558 D) 1548 E) 2548,A) 2448 B) 1568 C) 2558 D) 1548 E) 2548,E,"Сначала посчитаем сколько киловатт - часов было использовано за данный период. 32726-32544=182 (киловатт - часов) - использовали за январь. Теперь можем посчитать сколько тенге нужно заплатить за эту электроэнергию: 182*14=2548 тенге.
 Ответ: Е) 2548","First, calculate how many kilowatt-hours were used during this period: 32726-32544=182 (kilowatt-hours) used in January. Now we can calculate how much tenge we need to pay for this electricity: 182*14=2548 tenge.
 Answer: 2548"
15,Алгебра,Algebra,"Масса пустой бутылки k г, масса бутылки, наполненной на 1/4 водой - m г. Масса полной бутылки равна:","The mass of an empty bottle is k g, the mass of a bottle filled 1/4 with water is m g. The mass of the full bottle is equal to:",A) 4m + 3k B) 4m + k C) 4m - 3k D) 4m -k E) 4m - 4k,A) 4m + 3k B) 4m + k C) 4m - 3k D) 4m -k E) 4m - 4k,C,"Масса четверти самой воды без бутылки m-k, тогда общий вес только воды без бутылки 4(m-k), значит с бутылкой будет 4(m-k)+k = 4m-3k.
 Ответ: 4m - 3k","The mass of a quarter of the water without a bottle is m-k, and the total weight of water without a bottle is 4(m-k). Then the mass of water with a bottle will be 4(m-k)+k = 4m-3k.
 Answer: 4m - 3k"
16,Алгебра,Algebra,"В двух карманах было 150 монет. Затем семнадцать монет были перемещены из одного кармана в : другой. В результате, количество монет во втором кармане стало в два раза больше, чем в первом. До перемещения в первом кармане было","There were one hundred and fifty coins in two pockets. Then seventeen coins were moved from one pocket to the other. As a result, the number of coins in second pocket became twice the number of coins in the first pocket. Before the move. the first pocket had",A) 85 монет B) 75 монет C) 87 монет D) 50 монет E) 67 монет,A) 85 coins B) 75 coins C) 87 coins D) 50 coins E) 67 coins,E,"Пусть имеется a монет в одном и b монет в другом кармане. Составим систему уравнений согласно условию:
 a + b = 150
 2(a – 17) = b + 17
 
 Упростив данную систему, приводим к такому виду:
 a + b = 150
 2a – b = 51
 
 Находим значения для переменных a, b:
 3a = 201
 a = 67
 b = 150 – 67 = 83
 Ответ: 67 монет","Let there be ""a"" coins in one pocket and ""b"" coins in the other. Let's make a system of equations according to the conditions of the given problem:
 a + b = 150
 2(a – 17) = b + 17
 
 Simplifying this system, we bring it to this form:
 a + b = 150
 2a – b = 51
 
 We find values ​​for variables ""a"", ""b"":
 3a = 201
 a = 67, and by substituting the value of ""a"" to the first equation we get 
 b = 150 – 67 = 83
 Answer: 67 coins"
17,Логика,Logic,"Установите закономерность и найдите, какое число должно стоять вместо вопросительного знака: 189; 93; 45; 21; 9; ?",Establish a pattern and find which number should be in place of the question mark: 189; 93; 45; 21; 9; ?,A) 2 B) 4 C) 5 D) 1 E) 3,A) 2 B) 4 C) 5 D) 1 E) 3,E,"Можно заметить, что каждое следующее число в последовательности получается путем вычитания от предыдущего числа 3, и деления на 2:
 (189 – 3):2 = 93
 (93-3):2 = 45
 (45-3):2 = 21
 (21-3):2 = 9
 (9-3):2 = 3
 Ответ: 3","We can see that each subsequent number in the sequence is obtained by subtracting the number 3 from the previous one and dividing by 2:
 (189 – 3):2 = 93
 (93-3):2 = 45
 (45-3):2 = 21
 (21-3):2 = 9
 (9-3):2 = 3
 Answer: 3"
18,Алгебра,Algebra,"Цена на школьные пеналы по акции «Уценка товара» была снижена на 50 тенге. Изначально пенал стоил 300 тенге. На сколько процентов нужно поднять новую цену пенала, чтобы вернуться к старой цене в 300 тенге.","The price of school pencil cases under the ""Markdown"" campaign was reduced by 50 tenge. Initially the pencil case cost 300 tenge. By how many percent should we raise the new price of the pencil case to return to the old price of 300 tenge.",A) 10% B) 25% C) 20% D) 30% E) 15%,A) 10% B) 25% C) 20% D) 30% E) 15%,C,"Цена школьного пенала после уценки составляет 300-50=250 тенге. Чтобы найти на сколько процентов нужно поднять новую цену пенала, чтобы вернуться к старой цене, решаем данное уравнение:
 250+(250*x/100)=300
 2.5x=50
 x = 50/2.5 = 20%
 Ответ: 20%","The price of a school pencil case after the markdown is 300-50=250 tenge. To find by what percentage the new price of the pencil case needs to be raised to return to the old price, we can solve this equation:
 250+(250*x/100)=300
 2.5x=50
 x = 50/2.5 = 20%
 Answer: 20%"
19,Алгебра,Algebra,"Биржевой игрок взял кредит в банке в размере 1000000 тг под 20% годовых, купил на эти деньги акции по цене 10000 тг за акцию. Через год стоимость этих акции выросла на 30%. Какое минимальное число акций нужно продать, чтобы полностью рассчитаться с банком по кредиту (учитывая причитающиеся банку проценты)?","A stock exchange player took a loan from a bank in the amount of 1000000 tg at 20% per annum, bought shares with this money at the price of 10000 tg per share. A year later, the value of these shares increased by 30%. What is the minimum number of shares to sell in order to fully pay off the loan to the bank (taking into account the interest due to the bank)? interest due to the bank)?",A) 94 B) 96 C) 93 D) 92 E) 91,A) 94 B) 96 C) 93 D) 92 E) 91,C,"Согласно к условиям задачи через год биржевой игрок должен вернуть банку 1000000 тг + 1000000 тг * 12/100% = 1200000 тг. Каждая акция через год будет стоить 10000 тг + 10000 тг * 30/100% = 13000 тг.
 Чтобы вернуть банку 1200000 тг, биржевому игроку нужно продать 1200000 / 13000 = 92.307 акций. Однако нельзя продать дробную часть акций, поэтому биржевому игроку нужно продать как минимум 93 акции. 
 Ответ: 93.","According to the conditions of the problem, in a year the stock market player must return to the bank 1000000 tenge + 1000000 tenge * 12/100% = 1200000 tenge. Each share in a year will cost 10000 tenge + 10000 tenge * 30/100% = 13000 tenge. To return 1200000 tenge to the bank, the stock market player must sell 1200000 / 13000 = 92307 shares. However, it is impossible to sell a fractional part of the shares, so the stock market player must sell at least 93 shares.
 Answer: 93."
20,Алгебра,Algebra,"На контрольной работе по математике оценку «5» получила 1/6 всего класса, 23 ученика получили оценку «4» и «3», а число учеников, получивших «5» относится к числу учеников, получивших «2» как 5:2. Сколько всего учеников в классе?","At the control work in mathematics 1/6 of the whole class got grade ""5"", 23 pupils got grades ""4"" and ""3"", and the number of pupils getting ""5"" is related to the number of students who got ""2"" as 5:2. How many students are there in the class?",A) 28 B) 25 C) 26 D) 30 E) 32,A) 28 B) 25 C) 26 D) 30 E) 32,D,"Пусть всего учеников в классе будет x. Согласно к условиям задачи
 1/6x – получили 5;
 23 – получили 4 и 3;
 1/15x – получили 2;
 Теперь мы можем записать уравнение:
 x – 1/6x – 1/15x = 23
 23/30x = 23
 X = 30
 Ответ: 30","Let's denote the total number of students in the class as x. According to the conditions of the problem
 1/6x – got 5;
 23 – got 4 and 3;
 1/15x – got 2;
 Now we can write the equation:
 x – 1/6x – 1/15x = 23
 23/30x = 23
 x = 30
 Answer: 30"
21,Алгебра,Algebra,"Для облицовки стен бассейна используется белая, жёлтая и черная плитка в отношении 1:1,3:2,7. Взяли 150 плиток. Сколько среди них должно быть плиток белого и желтого цвета вместе?","White, yellow and black tiles are used to tile the walls of a swimming pool in a ratio of 1:1,3:2,7. 150 tiles are taken. How many of them should be white and yellow tiles together?",A) 67 B) 68 C) 69 D) 70 E) 71,A) 67 B) 68 C) 69 D) 70 E) 71,C,"Cогласно условиям задачи можно составить данное уравнение: 1x+1.3x+2.7x=150
 5x=150
 x=30
 Значит количество белой плитки было 1*30 = 30, желтой 30*1.3=39, в сумме 30+39=69 плиток (белой и желтой вместе).
 Ответ: 69","According to the conditions of the problem, we can construct this equation: 
 1x+1.3x+2.7x=150
 5x=150
 x=30
 So the number of white tiles was 1*30 = 30, yellow 30*1.3=39, and 30+39=69 tiles (white and yellow together).
 Answer: 69"
22,Алгебра,Algebra,Разность 25^30 - 24^11 оканчивается цифрой,The difference 25^30 - 24^11 ends in a digit,A) 2 B) 3 C) 6 D) 4 E) 1,A) 2 B) 3 C) 6 D) 4 E) 1,E,"В задании требуется определить последнюю цифру разности двух степеней 25^30 и 24^11. Все натуральные числа с последней цифрой 5 оканчивается цифрой 5. Поскольку, 4 * 4 = 16 и 6 * 4 = 24, то можно утверждать, что любая нечётная степень любого натурального числа с последней цифрой 4 оканчивается цифрой 4. Таким образом, разность 25^30 – 24^11 оканчивается цифрой 5 – 4 = 1.
 Ответ: Е) 1","The task requires to find the last digit of the difference between two powers of 25^30 and 24^11. All natural numbers with the last digit 5 ​​end in 5. Since 4 * 4 = 16 and 6 * 4 = 24, we can say that any odd power of any natural number with the last digit 4 ends in 4. Thus, the difference 25 ^ 30 – 24 ^ 11 ends in 5 – 4 = 1.
 Answer: 1"
23,Алгебра,Algebra,"В один день, ученик потратил 1/4 своего времени на рассмотрение 7/12 домашнего задания, 7/12 времени потратил на решение заданий и все остальное время потратил на проверку выполненных заданий. Найдите соотношение времени на проверку выполненных заданий к времени, потраченному на рассмотрение домашнего задания.","On one day, a student spent 1/4 of his time reviewing 7/12 of his homework, 7/12 of his time solving assignments, and the rest of his time spent checking the completed assignments. Find the ratio of the time spent on checking the completed assignments to the time spent on reviewing the homework.",A) 1:6 B) 3:12 C) 1:3 D) 2:3 E) 7:12,A) 1:6 B) 3:12 C) 1:3 D) 2:3 E) 7:12,D,"На рассмотрение домашнего задания и на решение заданий было потрачено 1/4+7/12=(1*3+7)/12=10/12=5/6 времени. Следовательно на проверку заданий было потрачено 1-(5/6)=1/6 времени. Таким образом, соотношение времени на проверку выполненных заданий к времени, потраченному на рассмотрение домашнего задания: (1/6):(1/4)=(1/6)*4=4/6=2/3
 Ответ: 2:3","Student spent 1/4+7/12=(1*3+7)/12=10/12=5/6 of time on reviewing homework and solving assignments. Therefore, 1-(5/6)=1/6 of time he spent on checking assignments. Thus, the ratio of time spent on checking completed assignments to time spent reviewing homework is (1/6):(1/4)=(1/6)*4=4/6=2/3
 Answer: 2:3"
24,Алгебра,Algebra,"Если от дома до дачи и обратно Мурат идет пешком, то на весь путь у него уходит 1,5 часа. Если же от дома до дачи он идет пешком, а возвращается на велосипеде, то его путь занимает 1 ч. Сколько времени понадобится Мурату на путь от дома до дачи и обратно, если он его проделает на велосипеде?","If Murat walks from home to the dacha and back, it takes him 1.5 hours. If he walks from home to the summer house and returns by bicycle, it takes him 1 hr. How long will it take Murat to go from home to the summer house and back if he goes by bicycle?",A) 40 мин B) 45 мин C) 30 мин D) 25 мин E) 35 мин,A) 40 min B) 45 min C) 30 min D) 25 min E) 35 min,C,"От дома до дачи и обратно пешком уходит 1,5 ч = 90 мин. Следовательно, 90:2=45 минут Мурат идет пешком в одну сторону. Если от дома до дачи он идет пешком, а возвращается на велосипеде, то его путь занимает 1 ч. Значит 60-45=15 минут Мурат едет на велосипеде в одну сторону. В итоге 15*2=30 минут понадобится Мурату на путь от дома до дачи и обратно на велосипеде.
 Ответ: 30 мин","It takes 1.5 hours = 90 minutes to walk from home to the dacha and back. Therefore, 90:2 = 45 minutes Murat walks one way. If he walks from home to the dacha and returns by bike, then his journey takes 1 hour. This means 60-45 = 15 minutes Murat rides a bike one way. As a result, 15 * 2 = 30 minutes Murat will need to travel from home to the dacha and back by bike.
 Answer: 30 min"
25,Алгебра,Algebra,Среднее арифметическое 3-х чисел равно 42. Среднее арифметическое еще 5-ти чисел равно 50. Чему равно среднее арифметическое этих 8 чисел?,The Algebra mean of 3 numbers is 42. The Algebra mean of 5 more numbers is 50. What is the Algebra mean of these 8 numbers?,A) 46 B) 47 C) 48 D) 49 E) 50,A) 46 B) 47 C) 48 D) 49 E) 50,B,"Сумму 3-х чисел обозначим через S1, a сумму 5-ти чисел через S2. Находим значения S1, S2: S1 = 42*3 = 126, S2 = 50*5 = 250. Cреднее арифметическое этих 8 чисел будет равно (S1+S2)/8 = (126+250)/8 = 47.
 Ответ: 47","Let's denote the sum of 3 numbers by S1, and the sum of 5 numbers by S2. We find the values ​​of S1, S2: S1 = 42*3 = 126, S2 = 50*5 = 250. The Algebra mean of these 8 numbers will be equal to (S1+S2)/8 = (126+250)/8 = 47.
 Answer: 47"
26,Логика,Logic,Каждой букве соответствует определенная цифра: К+2=3; 4-А=К; КА+АК=ВВ,Each letter corresponds to a certain digit: К+2=3; 4-А=К; КА+АК=ВВ,A) 7 B) 5 C) 6 D) 8 E) 4,A) 7 B) 5 C) 6 D) 8 E) 4,E,"Из первого уравнения получаем, что К=3-2=1. Дальше подставляем К во второе уравнение и получаем, что 4-А=1, откуда А=3. Теперь из третьего уравнения получаем, что 13+31=44, то есть В=4.
 Ответ: 4","From the first equation we get that K=3-2=1. Then we substitute K into the second equation and get that 4-A=1, from which A=3. Now from the third equation we get that 13+31=44, that is, B=4.
 Answer: 4"
27,Алгебра,Algebra,"На 36-минутной тренировке 24 мальчика играют в баскетбол. Известно, что только 10 мальчиков могут играть одновременно, и все мальчики играют одинаковое количество времени. Сколько минут каждый сыграл в баскетбол.","At a 36-minute practice, 24 boys play basketball. It is known that only 10 boys can play at a time, and all boys play for the same amount of time. How many minutes did each play basketball.",A) 20 B) 16 C) 18 D) 12 E) 15,A) 20 B) 16 C) 18 D) 12 E) 15,E,"Согласно условиям задачи каждый мальчик сыграл в баскетбол 36*10/24=15 минут.
 Ответ: Е) 15","According to the conditions of the problem, each boy played basketball 36*10/24=15 minutes.
 Answer: 15"
